,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
331,Sao Gabriel da Cachoeira,90,BR,1554663600,78,-0.13,-67.09,80.6,6.93
332,Tessalit,0,ML,1554665108,15,20.2,1.01,79.85,7.18
333,Acapulco,40,MX,1554662820,74,16.86,-99.88,82.4,11.41
334,Razole,0,IN,1554665108,98,16.48,81.84,83.9,10.76
335,Energeticheskiy,75,KZ,1554661800,81,43.43,77.02,42.8,2.24
336,Kalvarija,0,LT,1554665109,66,54.41,23.23,45.65,6.17
337,Rivers,20,CA,1554663600,76,50.03,-100.23,50,8.05
338,Kudahuvadhoo,92,MV,1554664866,100,2.67,72.89,82.28,5.61
339,College,1,US,1554664706,51,64.86,-147.8,36.43,5.82
340,Ereymentau,0,KZ,1554665109,70,51.62,73.1,30.89,6.17
341,Kilindoni,32,TZ,1554665109,100,-7.91,39.67,83,8.19
342,Tieli,44,CN,1554665110,89,46.98,128.05,30.8,4.94
343,Cam Ranh,20,VN,1554661800,88,11.92,109.15,78.8,4.7
344,Zhezkazgan,0,KZ,1554665110,69,47.8,67.71,41.24,15.01
345,Orange,0,AU,1554665085,72,-33.28,149.1,55.51,3.27
346,Cap-Chat,8,CA,1554665061,100,49.1,-66.68,22.97,19.48
347,Bubaque,8,GW,1554665111,73,11.28,-15.83,89.84,2.59
348,Troitsko-Pechorsk,44,RU,1554665111,90,62.71,56.19,34.49,5.84
349,Colares,40,PT,1554665106,87,38.8,-9.45,58.44,10.29
350,The Valley,40,AI,1554664608,58,18.22,-63.06,83.41,16.11
351,Anito,24,PH,1554665112,99,12.45,125.29,80.21,9.98
352,Arman,12,RU,1554665112,79,59.7,150.17,14.6,3.15
353,Mount Gambier,90,AU,1554660000,100,-37.83,140.78,53.6,6.93
354,Komsomolskiy,88,RU,1554665112,88,67.55,63.78,26.66,7.96
355,Walvis Bay,0,NA,1554663729,87,-22.95,14.51,57.02,5.82
356,Port Keats,92,AU,1554665113,100,-14.25,129.55,76.07,12.44
357,Westport,75,IE,1554664923,81,53.8,-9.52,48.25,13.87
358,Zemio,0,CF,1554665113,87,5.02,25.13,75.71,2.59
359,Isangel,24,VU,1554665113,100,-19.55,169.27,77.15,11.54
360,Birobidzhan,80,RU,1554665113,84,48.79,132.93,27.83,2.93
361,Rocha,0,UY,1554664918,61,-34.48,-54.34,73.82,4.38
362,Dire,75,ET,1554660000,67,9.18,38.92,62.6,4.7
363,Klaksvik,44,FO,1554663000,60,62.23,-6.59,41,13.87
364,Cidreira,88,BR,1554665114,96,-30.17,-50.22,69.68,7.96
365,Black Diamond,90,CA,1554665042,33,50.69,-114.23,48.42,4.7
366,Ghanzi,8,BW,1554665114,77,-21.7,21.65,68.51,2.71
367,Mogadishu,0,SO,1554665115,99,2.04,45.34,83.45,10.98
368,Mataquescuintla,75,GT,1554663600,50,14.53,-90.19,77,13.87
369,Port Lincoln,92,AU,1554664909,94,-34.72,135.86,64.1,14.45
370,Makinsk,0,KZ,1554665115,71,52.63,70.42,26.57,6.17
371,Bafoulabe,0,ML,1554665115,21,13.81,-10.83,96.68,9.98
372,Novikovo,44,UA,1554665115,83,45.05,34.56,49.16,3.71
373,Vila Velha,20,BR,1554664691,66,-3.71,-38.6,84.29,16.11
374,Campbell River,75,CA,1554664564,81,50.02,-125.24,48.87,5.82
375,Udala,20,ES,1554664820,76,43.08,-2.51,52.23,6.93
376,Zhigansk,64,RU,1554665116,75,66.77,123.37,23.51,6.73
377,Charagua,0,BO,1554660000,47,-19.79,-63.2,78.8,10.09
378,Pangnirtung,90,CA,1554660000,68,66.15,-65.72,26.6,5.82
379,Port Macquarie,40,AU,1554665105,93,-31.43,152.91,60.53,3.36
380,Saint-Pierre,75,FR,1554664798,71,48.95,4.24,53.42,11.41
381,Kangaatsiaq,36,GL,1554665117,90,68.31,-53.46,32.87,4.72
382,Eunice,90,US,1554665031,73,30.49,-92.42,77.59,8.05
383,Nizhniy Odes,12,RU,1554665117,92,63.64,54.86,30.35,3.04
384,Quatre Cocos,40,MU,1554665040,74,-20.21,57.76,79.18,16.11
385,Nome,90,US,1554665107,83,30.04,-94.42,67.64,25.28
386,Manokwari,44,ID,1554665118,100,-0.87,134.08,78.95,4.83
387,Channel-Port aux Basques,0,CA,1554665118,94,47.57,-59.14,30.08,26.19
388,Cody,1,US,1554664609,35,44.53,-109.06,58.8,18.34
389,Contai,0,IN,1554665118,92,21.78,87.75,82.91,16.91
390,Santa,0,PH,1554665118,83,17.49,120.43,69.23,2.37
391,Nantucket,1,US,1554664876,70,41.28,-70.1,52.23,12.75
392,Jieshi,88,CN,1554665119,94,22.82,115.83,73.28,6.4
393,Hami,24,CN,1554665119,73,42.84,93.51,47.54,1.36
394,Pascagoula,90,US,1554665005,78,30.37,-88.56,74.73,12.75
395,Necochea,0,AR,1554665015,49,-38.55,-58.74,80.75,6.4
396,Warah,8,YE,1554665120,61,13.4,44.12,67.25,2.26
397,Dwarka,75,IN,1554664507,53,28.58,77.04,83.84,5.82
398,Waingapu,44,ID,1554665120,93,-9.65,120.26,74.99,6.73
399,Natal,20,BR,1554663600,62,-5.81,-35.21,86.88,14.99
400,Mahibadhoo,88,MV,1554664866,100,3.78,72.97,85.61,4.94
401,Marsh Harbour,0,BS,1554664927,98,26.54,-77.06,77.33,11.88
402,Sabzevar,76,IR,1554665120,81,36.21,57.68,54.29,2.59
403,Mayo,90,CA,1554660000,74,63.59,-135.9,32,6.93
404,Dongsheng,0,CN,1554665121,74,29.72,112.52,69.95,12.44
405,Chambersburg,75,US,1554664925,49,39.94,-77.66,69.48,14.99
406,Tandil,0,AR,1554664504,31,-37.33,-59.14,82.99,4
407,Victor Harbor,75,AU,1554665010,77,-35.55,138.62,61.23,8.05
408,Alcains,92,PT,1554664547,90,39.92,-7.46,53.6,8.01
409,Nioro,0,GM,1554665121,20,13.79,-15.05,99.74,10.54
410,Ukiah,90,US,1554665001,72,39.15,-123.21,60.4,9.17
411,Raudeberg,0,NO,1554663612,48,61.99,5.14,40.26,19.46
412,Pangai,20,TO,1554663600,88,-19.8,-174.35,82.4,5.82
413,Tamandare,68,BR,1554664939,69,-8.28,-70.75,79.76,6.4
414,Tanolong,8,PH,1554665122,89,15.82,120.4,76.61,4.61
415,Boende,64,CD,1554665122,96,-0.28,20.88,72.92,2.15
416,Sombrerete,0,MX,1554665123,19,23.63,-103.64,66.35,3.38
417,Bambous Virieux,40,MU,1554664739,74,-20.34,57.76,79.65,16.11
418,Villamontes,0,BO,1554665123,52,-21.26,-63.47,77.96,3.49
419,Yeppoon,0,AU,1554663600,82,-23.13,150.74,66.2,3.36
420,Banyo,32,CM,1554665123,94,6.75,11.81,67.88,4.16
421,Kampot,20,KH,1554661800,83,10.62,104.18,79.66,2.24
422,Anadyr,0,RU,1554664350,60,64.73,177.51,8.35,13.42
423,Port Hedland,12,AU,1554663600,100,-20.31,118.58,78.8,4.7
424,Trzebiatow,0,PL,1554665030,64,54.06,15.26,50.4,5.82
425,Jawhar,0,IN,1554665124,90,19.91,73.23,67.16,2.82
426,Bonga,44,ET,1554665124,94,7.26,36.25,59.6,1.59
427,Sorland,20,NO,1554659400,59,67.67,12.69,33.8,5.82
428,Maple Creek,48,CA,1554665125,41,49.91,-109.46,51.68,15.23
429,Kibaya,40,RW,1554663600,60,-2.2,30.56,73.4,5.82
430,Filadelfia,0,PY,1554665125,77,-22.35,-60.04,77.6,8.97
431,Eyl,0,SO,1554664996,100,7.98,49.82,78.68,5.5
432,Grindavik,75,IS,1554664917,96,63.84,-22.43,43.23,13.87
433,Soyo,32,AO,1554665125,92,-6.13,12.37,80.39,3.15
434,Peniche,40,PT,1554664847,93,39.36,-9.38,58.37,11.41
435,La Rioja,0,AR,1554665126,71,-29.41,-66.86,74.81,4.05
436,Lasa,0,CY,1554664584,87,34.92,32.53,57.7,5.82
437,Bonthe,76,SL,1554665126,69,7.53,-12.5,84.71,6.73
438,Bowen,44,AU,1554665014,93,-20.01,148.25,67.24,6.93
439,Tarakan,56,ID,1554665050,97,3.3,117.63,82.01,6.17
440,Shieli,32,KZ,1554665127,53,44.18,66.74,53.12,17.69
441,Caibarien,75,CU,1554663000,51,22.52,-79.47,86,20.8
442,Singaraja,64,ID,1554665127,100,-8.11,115.08,72.56,1.36
443,Muros,90,ES,1554665116,100,42.77,-9.06,52.79,6.93
444,Abrau-Dyurso,0,RU,1554661800,58,44.7,37.6,58.69,17.9
445,Camacha,20,PT,1554663600,59,33.08,-16.33,64.4,16.11
446,Cairns,75,AU,1554664577,88,-16.92,145.77,70.97,12.75
447,Mehamn,75,NO,1554663000,63,71.03,27.85,29.73,16.11
448,Dzierzoniow,0,PL,1554664951,71,50.73,16.65,50.86,3.36
449,Anloga,75,GH,1554660000,94,5.79,0.9,75.2,9.17
450,Kandrian,100,PG,1554665129,100,-6.21,149.55,72.56,2.71
451,Burnie,0,AU,1554665044,77,-41.05,145.91,47.73,1.99
452,Nakasongola,24,UG,1554665129,74,1.32,32.46,73.73,5.28
453,Xingyi,0,CN,1554665129,65,24.19,102.82,61.4,6.4
454,Feijo,75,EC,1554663600,59,-3.63,-79.92,89.6,6.93
455,Puro,56,PH,1554665130,93,13.13,123.76,74.27,3.27
456,Erzin,75,TR,1554665012,72,36.95,36.2,62.06,20.8
457,Amahai,32,ID,1554665130,100,-3.31,129,83.63,1.48
458,Pevek,24,RU,1554665130,88,69.7,170.27,-6.55,5.39
459,Agboville,56,CI,1554665131,100,5.93,-4.21,80.03,5.06
460,Batticaloa,20,LK,1554664865,100,7.71,81.69,81.38,7.4
461,Konevo,88,BG,1554664815,94,41.67,25.61,55.99,2.59
462,Peace River,75,CA,1554660000,93,56.23,-117.29,39.2,6.93
463,Mae Sot,0,MM,1554665131,70,16.71,98.57,71.75,1.92
464,Capari,75,MK,1554660000,62,41.06,21.18,53.6,3.36
465,Cotonou,20,BJ,1554660000,94,6.37,2.43,75.2,10.29
466,Viru,80,EE,1554664815,61,57.74,26.74,49.19,5.82
467,San Francisco,1,US,1554664833,82,37.78,-122.42,64.65,6.93
468,Suna,20,KE,1554665133,80,-1.08,34.43,74.45,8.75
469,Qingdao,0,CN,1554660000,27,36.09,120.35,50,4.47
470,Hammerfest,75,NO,1554663000,74,70.66,23.68,29.43,20.8
471,Iquitos,90,PE,1554660000,88,-3.75,-73.25,75.2,5.82
472,Nara,90,JP,1554664282,93,34.68,135.8,51.01,13.87
473,Novaya Lyalya,32,RU,1554665134,84,59.05,60.6,28.91,2.93
474,Dicabisagan,64,PH,1554664989,100,17.08,122.42,73.46,3.04
475,Dunedin,0,NZ,1554665066,81,-45.87,170.5,54,15.01
476,Warrnambool,36,AU,1554664944,97,-38.38,142.48,53.46,1.99
477,Brazzaville,20,CD,1554663600,65,-4.27,15.27,79.66,4.7
478,Los Andes,0,CL,1554665111,17,-32.83,-70.6,89.13,12.75
479,Monteagudo,0,BO,1554660000,47,-19.8,-63.96,78.8,3.15
480,Praia da Vitoria,40,PT,1554664514,55,38.73,-27.07,59.18,24.07
481,Guaruja,90,BR,1554664592,94,-23.99,-46.26,78.51,5.82
482,Karratha,44,AU,1554665136,89,-20.74,116.85,75.89,2.82
483,Rawson,36,AR,1554664931,36,-43.3,-65.11,80.66,3.04
484,Mangan,0,IN,1554665136,89,27.5,88.54,28.01,1.7
485,Jinxiang,48,CN,1554664196,46,35.07,116.31,62.01,9.64
486,Tilichiki,48,RU,1554665137,83,60.47,166.1,18.29,3.27
487,Limbang,75,BN,1554661800,94,4.75,115.01,78.35,3.36
488,Hokitika,0,NZ,1554665137,100,-42.72,170.96,50.6,9.31
489,Bisira,56,PA,1554664974,64,8.52,-81.71,83.81,1.25
490,Nizwa,32,OM,1554665137,23,22.93,57.53,77.33,5.39
491,Charyshskoye,8,RU,1554665138,80,51.4,83.56,24.41,3.49
492,Yatou,75,CM,1554663600,94,3.63,9.81,80.6,5.17
493,Nabire,88,ID,1554665138,95,-3.36,135.5,67.52,1.7
494,Tezu,92,IN,1554665138,54,27.93,96.16,60.5,1.92
495,Henties Bay,0,NA,1554663729,89,-22.12,14.28,57.99,5.01
496,Muli,0,IN,1554665053,39,22.62,71.45,85.16,14.56
497,Beirut,0,LB,1554664547,64,33.9,35.48,60.57,3.36
498,Ondjiva,80,AO,1554665139,42,-17.07,15.73,81.56,1.14
499,Xiuyan,0,CN,1554665139,59,40.29,123.27,29.99,5.28
500,Riyadh,56,SA,1554663600,39,24.63,46.72,78.8,13.87
501,Santa Vitoria do Palmar,20,BR,1554665139,86,-33.52,-53.37,72.47,4.61
502,Brufut,5,GM,1554663600,47,13.38,-16.75,80.6,6.93
503,Montauban,0,FR,1554664924,62,44.02,1.35,49.6,6.93
504,Tabuk,76,PH,1554665140,96,17.41,121.44,68.69,1.36
505,Qiongshan,0,CN,1554660000,94,20.01,110.35,77,4.47
506,Kushima,0,JP,1554664348,62,31.5,131.29,55,7.18
507,Vila Franca do Campo,20,PT,1554665104,62,37.72,-25.43,56.03,17.22
508,Antequera,12,PY,1554665141,77,-24.09,-57.2,76.07,5.95
509,Prieska,76,ZA,1554665141,93,-29.67,22.74,58.61,3.71
510,Veraval,0,FR,1554665092,76,49.65,0.71,51.55,6.93
511,Huarmey,8,PE,1554665141,56,-10.07,-78.15,78.68,3.71
512,Stokmarknes,20,NO,1554664611,96,68.56,14.91,33.21,6.93
513,Badarwas,0,IN,1554665142,81,24.97,77.57,67.43,4.05
514,Zlitan,0,LY,1554665142,74,32.47,14.57,62.12,10.98
515,Sitka,0,US,1554664551,33,37.17,-99.65,73.99,13
516,Manama,0,AE,1554663600,29,25.33,56.02,84.31,4.7
517,Mbini,88,GQ,1554665142,97,1.58,9.62,82.01,6.4
518,Portland,75,US,1554665044,76,45.52,-122.67,51.75,6.51
519,Springfield,20,US,1554664965,54,37.22,-93.29,78.26,14.99
520,Guarapari,20,BR,1554664754,66,-20.67,-40.5,86.22,14.99
521,Ciudad Bolivar,12,VE,1554665143,38,8.12,-63.55,94.25,12.55
522,Ayagoz,0,KZ,1554665144,69,47.96,80.43,31.88,8.19
523,Havre-Saint-Pierre,75,CA,1554663600,38,50.23,-63.6,26.6,19.46
524,Barcelos,90,PT,1554665009,93,41.53,-8.62,54.59,16.11
525,Betare Oya,44,CM,1554665144,83,5.6,14.08,75.17,0.92
526,Sawtell,40,AU,1554664989,93,-30.38,153.1,63.21,6.4
527,Imeni Babushkina,80,RU,1554665144,92,59.76,43.13,38,10.65
528,Rundu,32,NA,1554664938,45,-17.91,19.77,77.69,5.17
529,Poya,20,NC,1554665145,100,-21.35,165.16,75.08,15.23
530,Kontagora,76,NG,1554665145,81,10.4,5.47,82.73,4.72
531,Khandbari,0,NP,1554665146,87,27.38,87.21,34.58,1.14
532,Bintulu,75,MY,1554660000,94,3.17,113.03,78.26,2.24
533,Otradnoye,0,RU,1554665136,45,59.77,30.8,42.1,6.71
534,Port-Cartier,75,CA,1554665003,27,50.03,-66.88,25.92,16.11
535,Abalak,0,NE,1554665146,16,15.46,6.28,93.44,7.52
536,Semaria,92,IN,1554665147,64,24.31,79.97,71.93,2.71
537,Inhambane,20,MZ,1554660000,83,-23.87,35.38,77,10.2
538,Punta Gorda,40,US,1554665146,40,26.93,-82.05,87.13,10.29
539,Puerto Carreno,20,CO,1554663600,39,6.19,-67.49,98.6,6.93
540,Siderno,20,IT,1554665106,71,38.28,16.3,55.81,9.17
541,Miloslavskoye,0,RU,1554665148,81,53.58,39.44,32.96,2.59
542,Fonte Boa,88,BR,1554665148,90,-2.51,-66.09,78.95,6.85
543,Eureka,75,US,1554664803,68,40.8,-124.16,59.13,17.22
544,Bani,0,PH,1554665148,100,15.89,120.27,75.08,4.27
545,Noumea,40,NC,1554663600,93,-22.28,166.46,62.6,13.22
546,Ilo,0,PE,1554665149,66,-17.65,-71.34,75.26,3.94
547,Casteltermini,64,IT,1554664891,75,37.54,13.64,49.86,8.01
548,Valparaiso,20,US,1554665110,46,41.47,-87.06,70.02,14.99
549,Pemba,40,MZ,1554660000,88,-12.97,40.52,82.4,13.87
550,Keetmanshoop,0,NA,1554663600,25,-26.57,18.15,73.4,14.99
551,Palaikastron,0,GR,1554664294,86,35.2,26.25,60.01,3
552,Kruisfontein,8,ZA,1554664905,71,-34,24.73,69.32,18.14
553,Takoradi,68,GH,1554665150,93,4.89,-1.75,83.54,12.1
554,Laguna,5,MX,1554662580,22,27.52,-110.01,86,11.41
555,Emerald,0,AU,1554663782,93,-23.53,148.16,64.2,4.7
556,Kununurra,76,AU,1554661800,83,-15.77,128.74,80.6,4.7
557,Bail Hongal,0,IN,1554665151,72,15.82,74.87,74,5.61
558,Tiznit,44,MA,1554664974,74,29.7,-9.73,62.39,11.43
559,Bud,75,NO,1554664527,51,62.91,6.91,37.27,13.87
560,Barinas,0,VE,1554665151,39,8.64,-70.23,95.78,10.76
561,Foumban,76,CM,1554665152,75,5.73,10.9,73.73,0.92
562,Partenit,64,UA,1554665152,77,44.58,34.34,52.13,7.74
563,Kovur,0,IN,1554665152,55,14.5,79.99,78.86,7.85
564,Champoton,40,MX,1554662520,41,19.35,-90.72,95,17.22
565,Cabanbanan,68,PH,1554665152,97,10.18,122.9,75.08,2.82
566,Ulladulla,0,AU,1554664454,67,-35.36,150.48,60.03,3.36
567,Quang Ngai,0,VN,1554665153,92,15.12,108.8,67.88,2.26
568,Islahiye,75,TR,1554665012,82,37.03,36.63,57.2,2.24
569,Impfondo,48,CD,1554665153,78,1.62,18.06,77.78,3.6
570,Salta,20,AR,1554663600,36,-24.79,-65.41,79.79,5.82
571,Shakhtinsk,0,KZ,1554661800,86,49.71,72.59,28.4,4.47
572,Oksovskiy,12,RU,1554665153,89,62.61,39.91,31.16,4.61
573,West Helena,88,US,1554664525,88,34.55,-90.64,66.09,8.05
574,Okhotsk,0,RU,1554665154,91,59.36,143.24,22.16,1.59
575,Grand Gaube,40,MU,1554665040,74,-20.01,57.66,79.3,16.11
576,Bhawanipatna,8,IN,1554665154,68,19.91,83.17,71.84,3.83
577,Beloha,0,MG,1554665155,58,-25.17,45.06,79.85,13.67
578,Boda,8,BD,1554665155,89,26.2,88.56,63.56,4.38
579,Vaitape,92,PF,1554664921,100,-16.52,-151.75,83.63,16.91
580,Aksu,0,KZ,1554661800,85,52.04,76.93,24.8,6.71
581,Ranong,20,TH,1554660000,100,9.96,98.62,77,2.24
582,Xining,88,CN,1554665020,97,36.62,101.77,38.09,2.37
583,Kerman,75,IR,1554663600,34,30.29,57.06,64.4,6.93
584,San Clemente,1,US,1554664909,68,33.43,-117.61,72.28,8.05
585,Ouro Preto do Oeste,64,BR,1554665147,76,-10.75,-62.22,79.94,3.27
586,Samur,8,RU,1554665156,95,41.83,48.49,47.27,4.05
587,Gloversville,90,US,1554665139,51,43.05,-74.34,63.73,3.15
588,Holoby,0,UA,1554664237,87,51.09,25.02,45,3.04
589,Bainbridge,32,US,1554664883,54,30.9,-84.58,82.71,7.63
590,Boguchany,12,RU,1554665157,57,58.38,97.46,30.71,7.4
591,Port Moresby,75,PG,1554663600,94,-9.47,147.16,75.2,5.82
592,Yaan,48,NG,1554665157,64,7.38,8.57,86.96,7.07
593,Nouadhibou,0,MR,1554660000,56,20.93,-17.03,71.6,17.22
594,Mandan,1,US,1554665014,76,46.83,-100.89,62.08,24.16
595,Akdepe,0,TM,1554661800,47,42.05,59.39,56.14,6.93
596,Tekkali,0,IN,1554665158,64,18.62,84.23,77.96,4.27
597,Marawi,36,PH,1554664502,88,8,124.29,78.01,4
598,Kaeo,0,NZ,1554664085,94,-35.1,173.78,48.99,7.07
599,Snasa,75,NO,1554663000,60,64.25,12.38,39.2,9.17
600,Manta,88,RO,1554664981,68,45.1,24.1,50.24,4.94
601,Christchurch,90,NZ,1554664940,100,-43.53,172.64,44.98,3.36
602,Warmbad,0,DE,1554665117,70,50.67,13.08,52.16,5.82
603,Kalmunai,20,LK,1554665159,96,7.42,81.82,76.25,3.15
604,Coahuayana,0,MX,1554665159,20,18.62,-100.35,86.33,3.15
605,Pierre,1,US,1554665032,22,44.37,-100.35,69.19,21.92
606,Loukhi,48,RU,1554665160,91,66.08,33.04,30.71,5.39
607,Escanaba,1,US,1554664784,81,45.75,-87.06,50.22,9.17
608,Inuvik,20,CA,1554663600,56,68.36,-133.71,8.87,2.24
609,Ajaccio,88,FR,1554663600,81,41.93,8.74,51.33,4.7
610,Qasigiannguit,75,GL,1554663000,41,68.82,-51.19,41,18.34
611,Cockburn Town,0,TC,1554664867,96,21.46,-71.14,79.31,16.8
612,Kungurtug,80,RU,1554664989,76,50.6,97.53,20.99,5.73
613,Teguise,40,ES,1554663600,64,29.06,-13.56,68,12.75
614,Skjervoy,20,NO,1554663000,50,70.03,20.97,31.28,10.29
615,Japura,56,ID,1554665161,92,-0.42,102.29,76.97,2.15
616,Mao,40,DO,1554665137,45,19.55,-71.08,86.56,16.11
617,Jilotepec,0,MX,1554665162,38,19.61,-96.95,82.01,2.59
618,Constitucion,20,MX,1554664816,19,23.99,-104.67,67.5,5.95
619,Tanout,0,NE,1554665162,18,14.97,8.88,95.24,3.83
620,Punganuru,0,IN,1554665162,52,13.36,78.57,75.62,7.18
621,Igarka,80,RU,1554665163,89,67.47,86.57,26.3,22.73
622,Karlskoga,44,SE,1554665138,56,59.33,14.52,42.37,8.05
623,Yulara,0,AU,1554660000,37,-25.24,130.99,66.2,4.7
624,Tera,0,CY,1554664584,87,34.97,32.42,57.72,5.82
625,Monrovia,40,LR,1554661800,74,6.33,-10.8,84.2,5.82
626,Comodoro Rivadavia,75,AR,1554663600,58,-45.87,-67.48,59,12.75
627,Aras,12,YE,1554665164,68,14.28,44.38,54.83,2.59
628,Hailar,88,CN,1554665094,76,49.2,119.7,24.77,8.19
629,Sola,20,NO,1554665104,81,58.89,5.65,42.31,6.93
630,Qiqihar,76,CN,1554665164,77,47.35,123.91,33.32,7.63
631,Ballina,75,IE,1554664923,81,54.11,-9.15,48.88,13.87
632,Okato,20,NZ,1554665165,100,-39.19,173.88,55.82,16.02
633,Teknaf,0,BD,1554665165,93,20.86,92.31,71.03,2.59
634,Williston,1,US,1554664627,23,48.15,-103.62,59.85,14.99
635,Mansa,0,IN,1554661800,54,23.43,72.66,84.2,5.82
636,Coihaique,90,CL,1554663600,87,-45.58,-72.07,59,5.82
637,Aracati,0,BR,1554664954,89,-4.56,-37.77,83.36,7.63
638,Araxa,92,BR,1554665166,96,-19.59,-46.94,69.95,7.96
639,Monmouth,90,GB,1554665163,93,51.81,-2.72,51.84,8.08
640,Russell,0,AR,1554663600,18,-33.01,-68.8,84.2,5.82
641,Hobyo,0,SO,1554664981,90,5.35,48.53,78.59,6.73
642,Pand,0,HU,1554665123,76,47.35,19.64,55.35,5.82
643,Chara,75,GR,1554665004,67,39.42,22.43,58.8,6.93
644,Brigantine,1,US,1554664908,59,39.41,-74.36,63.75,9.17
645,Enshi,0,CN,1554665167,67,30.29,109.48,57.53,5.95
646,Iisalmi,0,FI,1554663000,48,63.56,27.19,41,1.12
647,Oda,64,JP,1554665167,100,35.19,132.5,50.96,3.38
648,Lingyuan,12,CN,1554665168,48,41.24,119.4,32.96,4.05
649,Posse,20,BR,1554665168,80,-14.08,-46.36,81.47,5.06
650,Ipixuna,75,BR,1554663600,83,-1.76,-48.8,80.6,8.05
651,Progreso,0,UY,1554664585,56,-34.68,-56.22,71.71,8.05
652,Cambara,56,BR,1554665168,79,-23.05,-50.07,80.12,4.83
653,Shamary,44,RU,1554665169,84,57.34,58.22,35.39,9.98
654,Sao Joao Batista,88,BR,1554665169,100,-3.13,-58.38,76.97,6.73
655,Moree,0,AU,1554664575,52,-29.46,149.84,66.07,11.41
656,Alyangula,90,AU,1554663600,100,-13.85,136.42,73.4,2.24
657,Yablochnyy,24,RU,1554660000,92,47.17,142.07,24.8,2.24
658,Hauterive,0,FR,1554664526,53,46.09,3.45,49.21,8.05
659,Ust-Kalmanka,0,RU,1554665170,75,52.12,83.31,21.08,3.38
660,Anzio,5,IT,1554665164,87,41.45,12.63,52.16,3.36
661,Tulun,36,RU,1554665171,64,54.56,100.58,29.45,4.94
662,Matara,75,PE,1554663600,54,-13.74,-72.9,55.4,2.48
663,Fukagawa,80,JP,1554665171,91,43.72,142.05,27.11,2.59
664,Tsiroanomandidy,20,MG,1554665171,90,-18.77,46.05,64.64,4.16
665,Carutapera,92,BR,1554665172,94,-1.2,-46.02,80.21,3.83
